gp,min,pts,fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,pts_per_min,efficiency_rating,ast_tov_ratio
82,18.4,5.5,37.0,14.5,74.1,1.7,3.8,0.7,0.1,1.2,1,0.2989130434782609,10.6,3.1640299750208163
64,17.0,7.0,39.0,23.1,74.5,2.0,3.2,1.1,0.1,1.5,1,0.4117647058823529,11.899999999999999,2.1319120586275817
80,16.9,7.4,52.9,0.0,69.1,4.2,0.4,0.6,0.8,1.1,1,0.43786982248520717,12.300000000000002,0.3633060853769301
77,15.1,5.6,46.7,21.4,81.0,3.8,0.4,0.3,0.6,0.9,1,0.3708609271523179,9.799999999999999,0.4439511653718091
55,14.9,4.1,41.7,37.5,76.1,1.5,1.5,0.7,0.2,0.8,0,0.2751677852348993,7.2,1.8726591760299625
48,14.8,5.1,40.7,9.5,80.4,1.7,2.1,0.9,0.0,1.3,0,0.34459459459459457,8.5,1.6141429669485012
51,14.5,5.0,39.9,27.0,87.5,1.5,2.8,0.9,0.0,1.4,0,0.3448275862068966,8.8,1.9985724482512492
51,13.2,3.9,40.2,36.7,76.9,2.1,0.8,0.3,0.2,0.7,0,0.29545454545454547,6.6,1.1412268188302426
72,12.4,4.6,42.3,0.0,80.3,1.3,1.9,0.6,0.1,1.3,1,0.3709677419354838,7.199999999999998,1.4604150653343582
69,11.8,3.6,45.2,100.0,82.1,2.7,0.6,0.5,0.3,0.6,1,0.30508474576271183,7.1000000000000005,0.9983361064891847
54,11.3,5.7,56.8,0.0,66.1,3.4,0.3,0.6,0.7,0.8,1,0.504424778761062,9.899999999999999,0.3745318352059925
24,10.6,4.1,30.3,36.6,66.7,0.7,1.5,0.7,0.1,1.3,0,0.38679245283018865,5.8,1.1529592621060722
50,9.6,4.1,41.5,19.2,75.4,1.1,1.8,0.6,0.1,1.0,1,0.4270833333333333,6.699999999999998,1.7982017982017984
56,9.6,3.4,45.6,0.0,65.5,1.2,1.1,0.6,0.2,0.8,1,0.3541666666666667,5.699999999999999,1.373283395755306
67,9.0,3.7,38.8,29.2,75.6,0.7,1.4,0.4,0.1,1.0,0,0.41111111111111115,5.300000000000001,1.3986013986013988
50,8.7,2.5,38.0,14.3,65.9,0.8,1.6,0.7,0.1,1.0,1,0.2873563218390805,4.7,1.5984015984015987
45,8.5,2.7,47.5,0.0,75.0,1.5,0.3,0.2,0.2,0.6,1,0.31764705882352945,4.300000000000001,0.49916805324459235
38,8.2,3.4,36.8,22.2,82.6,0.9,0.7,0.3,0.1,0.6,0,0.41463414634146345,4.8,1.1647254575707155
42,8.2,2.8,43.9,0.0,52.5,1.9,0.3,0.1,0.1,0.8,0,0.34146341463414637,4.399999999999999,0.3745318352059925
54,8.2,3.2,45.6,18.8,74.4,1.3,0.6,0.2,0.1,0.5,0,0.39024390243902446,4.8999999999999995,1.1976047904191616
35,7.3,4.0,39.2,20.0,53.6,1.2,0.6,0.4,0.2,0.8,0,0.547945205479452,5.6000000000000005,0.749063670411985
37,7.3,2.8,44.3,18.2,81.0,1.1,0.3,0.2,0.1,0.5,0,0.3835616438356164,4.0,0.5988023952095808
46,6.7,2.6,43.1,27.0,52.6,0.8,0.5,0.2,0.0,0.3,0,0.3880597014925373,3.8000000000000007,1.6611295681063123
51,6.4,2.2,38.4,43.3,83.3,0.8,0.3,0.1,0.0,0.3,0,0.34375,3.1,0.9966777408637874
40,5.3,2.2,38.0,0.0,75.6,1.2,0.3,0.1,0.1,0.5,0,0.4150943396226416,3.4000000000000004,0.5988023952095808
19,4.8,1.6,37.8,0.0,37.5,1.0,0.4,0.3,0.2,0.3,0,0.33333333333333337,3.2,1.3289036544850499
36,4.3,1.3,35.3,11.8,66.7,0.6,0.6,0.1,0.0,0.5,0,0.3023255813953489,2.1,1.1976047904191616
79,37.7,18.0,42.2,27.3,73.6,8.8,4.0,1.4,1.1,2.9,1,0.47745358090185674,30.400000000000006,1.3788348845225784
55,13.1,3.4,30.4,20.4,74.5,1.2,0.5,0.7,0.1,0.7,0,0.2595419847328244,5.199999999999999,0.7132667617689016
74,35.2,18.4,46.7,34.2,73.1,10.3,2.2,1.0,1.3,2.9,1,0.5227272727272726,30.299999999999997,0.7583591864874183
64,33.5,14.3,40.6,36.5,77.0,2.8,4.0,1.3,0.2,2.5,0,0.42686567164179107,20.1,1.599360255897641
82,28.5,15.7,42.5,37.4,75.0,2.9,1.6,0.8,0.3,1.6,1,0.5508771929824561,19.7,0.999375390381012
82,27.4,7.2,45.0,7.7,71.1,3.0,6.4,2.0,0.2,2.2,1,0.26277372262773724,16.6,2.907769195820082
81,25.9,7.1,51.2,0.0,72.2,7.9,0.3,0.6,1.5,0.9,1,0.27413127413127414,16.5,0.3329633740288568
76,25.4,12.0,44.1,13.3,78.2,3.4,1.4,0.9,0.3,1.9,1,0.4724409448818898,16.1,0.7364544976328249
82,23.7,8.7,46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,0,0.36708860759493667,14.599999999999998,2.469135802469136
82,23.7,8.7,46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,1,0.36708860759493667,14.599999999999998,2.469135802469136
49,9.2,1.9,32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,0,0.20652173913043478,4.4,2.8286189683860234
49,9.2,1.9,32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,1,0.20652173913043478,4.4,2.8286189683860234
82,23.7,11.0,45.0,14.3,83.5,3.2,3.7,1.3,0.5,2.0,1,0.4641350210970464,17.7,1.8490754622688657
76,22.6,6.9,50.8,0.0,63.6,5.1,0.9,0.6,1.9,1.3,1,0.3053097345132743,14.1,0.6917755572636434
67,22.5,14.1,41.3,24.0,85.7,1.8,3.1,0.8,0.1,1.6,1,0.6266666666666667,18.3,1.9362898188632105
70,20.6,8.8,43.9,9.7,70.7,2.1,2.5,0.4,0.2,1.6,0,0.4271844660194175,12.4,1.5615240474703311
81,20.5,8.6,42.8,29.9,81.6,3.5,1.8,0.5,0.3,1.5,1,0.4195121951219512,13.200000000000001,1.1992005329780149
33,19.5,7.2,49.7,40.0,84.3,3.3,1.4,0.6,0.3,0.9,1,0.36923076923076925,11.9,1.5538290788013318
58,19.3,5.3,41.7,0.0,55.0,5.6,0.4,0.6,1.2,0.9,0,0.27461139896373055,12.199999999999998,0.4439511653718091
70,16.9,7.2,41.9,25.0,79.6,1.7,1.3,0.3,0.1,1.0,0,0.42603550295857995,9.600000000000001,1.298701298701299
82,16.5,4.9,41.2,17.6,74.7,1.9,2.8,0.8,0.1,1.2,1,0.296969696969697,9.300000000000002,2.331390507910075
62,16.2,6.9,38.0,29.2,77.3,1.9,1.2,0.5,0.1,1.2,0,0.425925925925926,9.4,0.9991673605328893
78,16.1,6.2,42.5,0.0,67.2,4.3,0.4,0.2,0.3,1.4,0,0.3850931677018633,10.0,0.2855103497501785
73,16.1,5.5,48.7,0.0,66.2,4.8,0.5,0.3,0.3,0.7,1,0.3416149068322981,10.700000000000003,0.7132667617689016
74,16.1,5.3,49.2,0.0,63.2,5.2,0.3,0.5,0.4,1.0,1,0.3291925465838509,10.700000000000001,0.2997002997002997
76,15.4,6.7,42.1,29.8,63.0,2.9,0.8,0.6,0.3,0.9,0,0.43506493506493504,10.4,0.8879023307436182
55,14.9,5.7,46.5,0.0,71.2,4.2,0.6,0.6,0.5,0.8,1,0.3825503355704698,10.799999999999999,0.749063670411985
47,14.3,5.6,44.6,18.2,58.8,1.5,2.8,0.7,0.2,1.6,0,0.39160839160839156,9.199999999999998,1.7489069331667706
37,13.6,8.1,44.1,40.0,72.2,2.1,0.9,0.4,0.1,1.0,1,0.5955882352941176,10.6,0.8991008991008992
62,13.3,4.3,46.5,0.0,64.4,2.7,0.6,0.2,0.2,1.0,0,0.3233082706766917,7.0,0.5994005994005994
62,12.5,3.9,38.4,16.1,80.5,1.0,1.3,0.5,0.1,0.9,0,0.312,5.8999999999999995,1.4428412874583796
51,11.9,6.9,43.8,11.8,68.4,2.0,0.8,0.6,0.2,0.8,0,0.5798319327731093,9.7,0.9987515605493134
36,11.8,3.9,41.3,0.0,55.6,1.4,1.0,0.4,0.0,0.8,1,0.33050847457627114,5.9,1.2484394506866416
74,11.6,3.1,41.6,25.0,65.2,1.9,0.7,0.5,0.2,0.3,1,0.26724137931034486,6.1000000000000005,2.3255813953488373
63,11.6,8.2,48.7,16.7,66.3,2.4,0.6,0.3,0.1,1.1,1,0.7068965517241379,10.5,0.544959128065395
33,10.8,2.2,34.8,27.3,64.3,2.2,0.8,0.5,0.2,0.3,0,0.20370370370370372,5.6000000000000005,2.6578073089700998
54,11.2,4.4,46.0,0.0,68.9,2.8,0.7,0.2,0.4,0.8,1,0.3928571428571429,7.7,0.8739076154806491
73,11.0,3.8,40.8,27.8,73.2,1.1,1.2,0.5,0.1,0.7,0,0.34545454545454546,6.0,1.7118402282453637
15,10.9,3.6,40.4,0.0,66.7,3.0,0.2,0.3,0.3,0.7,0,0.3302752293577982,6.699999999999999,0.28530670470756064
64,10.9,3.7,44.1,0.0,70.2,1.1,2.1,0.4,0.2,1.1,1,0.3394495412844037,6.4,1.907356948228883
56,10.6,3.4,41.5,0.0,80.0,0.8,1.9,0.5,0.1,0.8,0,0.32075471698113206,5.8999999999999995,2.372034956304619
64,10.6,3.2,39.1,0.0,69.6,1.2,1.0,0.3,0.1,0.8,0,0.30188679245283023,5.0,1.2484394506866416
68,10.1,3.1,41.8,33.3,90.5,0.8,1.9,0.5,0.0,0.6,1,0.3069306930693069,5.700000000000001,3.1613976705490847
47,10.0,2.9,40.3,37.5,75.8,1.4,0.7,0.3,0.0,0.5,0,0.29,4.8,1.3972055888223551
52,9.8,3.5,44.7,50.0,66.1,2.1,0.3,0.2,0.1,0.8,1,0.3571428571428571,5.3999999999999995,0.3745318352059925
64,9.5,3.7,40.0,40.0,77.8,1.0,0.4,0.3,0.2,0.5,0,0.38947368421052636,5.1000000000000005,0.7984031936127745
34,10.8,2.9,36.7,0.0,44.4,1.9,0.5,0.1,0.1,0.7,0,0.2685185185185185,4.799999999999999,0.7132667617689016
42,9.5,3.8,43.9,0.0,55.0,2.9,0.4,0.1,0.7,0.8,1,0.39999999999999997,7.1,0.4993757802746567
50,9.3,4.5,45.8,15.8,84.8,1.3,0.7,0.2,0.0,1.0,1,0.48387096774193544,5.7,0.6993006993006994
52,7.3,2.8,45.5,0.0,65.3,1.8,0.2,0.2,0.7,0.3,1,0.3835616438356164,5.4,0.6644518272425249
75,7.0,2.9,52.0,0.0,68.0,1.7,0.4,0.1,0.4,0.6,0,0.41428571428571426,4.9,0.6655574043261232
39,6.8,2.2,42.0,24.0,48.0,1.7,0.5,0.4,0.3,0.3,1,0.3235294117647059,4.800000000000001,1.6611295681063123
51,6.6,2.5,51.0,50.0,71.4,1.9,0.3,0.2,0.3,0.5,1,0.3787878787878788,4.7,0.5988023952095808
52,6.2,1.3,37.3,0.0,54.5,1.5,0.1,0.1,0.1,0.1,0,0.20967741935483872,3.0,0.9900990099009901
39,5.8,1.5,51.3,0.0,90.5,1.2,0.2,0.1,0.1,0.1,1,0.25862068965517243,3.0000000000000004,1.9801980198019802
82,36.6,24.3,53.1,0.0,73.2,12.0,2.0,1.7,3.9,3.1,1,0.6639344262295082,40.8,0.6449532408900355
31,10.7,3.4,35.3,25.8,55.2,1.4,0.4,0.3,0.1,0.2,0,0.31775700934579443,5.3999999999999995,1.9900497512437811
79,33.7,14.7,47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,0,0.43620178041543023,26.2,2.635564980308997
79,33.7,14.7,47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,1,0.43620178041543023,26.2,2.635564980308997
82,33.6,11.1,44.0,0.0,66.4,8.4,1.2,1.1,0.7,2.1,1,0.33035714285714285,20.4,0.5711565920990005
82,31.5,11.4,46.1,27.7,58.9,2.6,6.8,1.6,0.3,1.7,1,0.3619047619047619,21.000000000000004,3.9976484420928866
81,30.5,14.3,49.4,16.1,68.7,2.5,7.6,1.8,0.1,3.0,1,0.46885245901639344,23.3,2.5324891702765746
80,30.2,12.7,44.6,0.0,76.8,5.8,1.1,0.8,0.7,1.2,1,0.4205298013245033,19.900000000000002,0.9159034138218154
77,30.0,13.6,43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,1,0.4533333333333333,19.7,1.1992005329780149
77,30.0,13.6,43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,0,0.4533333333333333,19.7,1.1992005329780149
50,25.3,10.1,37.1,22.5,77.8,2.8,4.2,1.6,0.3,2.2,1,0.3992094861660079,16.8,1.9082235347569287
81,25.1,10.0,48.1,11.1,86.6,3.7,1.9,0.6,0.2,1.4,1,0.398406374501992,14.999999999999998,1.3561741613133478
82,23.0,8.9,50.7,30.0,71.9,3.1,1.8,0.9,0.4,1.9,1,0.3869565217391305,13.200000000000001,0.9468700683850606
50,10.6,3.7,44.9,13.3,57.4,2.9,0.3,0.2,0.4,0.4,0,0.34905660377358494,7.1,0.7481296758104737
81,22.0,11.5,49.4,5.9,70.5,3.9,1.5,0.8,0.4,1.7,1,0.5227272727272727,16.4,0.8818342151675486
82,21.7,8.9,50.4,0.0,72.7,4.7,1.1,0.5,0.7,1.4,1,0.4101382488479263,14.5,0.785153461812991
81,20.1,9.7,40.5,39.9,80.9,1.6,2.5,0.7,0.0,1.5,1,0.48258706467661683,12.999999999999998,1.6655562958027983
69,19.6,6.3,41.1,13.3,70.5,2.3,0.6,0.6,0.2,0.7,0,0.3214285714285714,9.299999999999999,0.8559201141226819
82,19.1,9.1,39.7,27.3,55.0,3.8,0.9,0.7,0.7,1.6,1,0.4764397905759162,13.599999999999998,0.5621486570893192
55,18.0,6.1,47.9,0.0,66.7,3.4,1.0,0.4,0.2,1.1,0,0.33888888888888885,10.0,0.9082652134423251
75,17.9,7.3,47.0,0.0,76.2,3.1,0.7,0.4,0.3,0.9,1,0.40782122905027934,10.9,0.7769145394006659
72,17.0,8.7,49.7,0.0,72.2,5.0,0.6,0.3,0.2,0.7,0,0.5117647058823529,14.1,0.8559201141226819
79,16.8,8.0,48.6,0.0,74.7,1.9,1.5,0.7,0.2,1.2,1,0.47619047619047616,11.1,1.2489592006661117
25,10.4,3.3,39.5,38.5,69.2,3.4,0.2,0.2,0.4,0.4,0,0.3173076923076923,7.1,0.49875311720698257
81,15.9,5.6,48.5,50.0,88.5,1.3,2.5,0.6,0.1,1.0,1,0.3522012578616352,9.099999999999998,2.4975024975024978
63,14.0,4.7,46.6,0.0,62.1,3.6,0.4,0.4,0.4,1.1,1,0.33571428571428574,8.400000000000002,0.3633060853769301
81,13.8,6.5,47.9,16.7,73.6,4.3,0.3,0.6,0.9,1.3,1,0.47101449275362317,11.3,0.23059185242121447
61,13.2,5.3,43.7,0.0,64.3,2.8,0.8,0.2,0.2,0.8,1,0.40151515151515155,8.499999999999998,0.9987515605493134
43,13.0,4.6,40.6,14.3,68.0,1.2,1.9,0.3,0.1,0.8,0,0.3538461538461538,7.3,2.372034956304619
55,12.9,4.3,36.9,7.1,56.2,3.1,0.4,0.4,0.1,0.8,1,0.3333333333333333,7.500000000000001,0.4993757802746567
59,12.4,4.1,54.7,25.0,67.1,2.1,0.6,0.6,0.2,0.5,0,0.33064516129032256,7.099999999999999,1.1976047904191616
66,11.3,5.9,45.9,0.0,77.7,2.1,0.7,0.5,0.1,1.2,1,0.5221238938053098,8.1,0.5828476269775188
70,34.5,16.7,40.5,26.4,70.3,6.2,6.3,1.9,0.6,3.5,0,0.4840579710144927,28.2,1.7994858611825193
77,11.0,3.5,42.9,28.6,66.0,0.7,2.3,0.3,0.0,1.1,0,0.3181818181818182,5.699999999999999,2.0890099909173476
37,10.9,3.9,29.8,23.3,69.4,0.9,1.8,0.5,0.1,1.4,0,0.35779816513761464,5.799999999999999,1.2847965738758031
67,10.1,3.1,38.4,18.8,66.1,0.9,2.5,0.5,0.0,1.1,1,0.3069306930693069,5.9,2.270663033605813
42,9.8,1.9,43.0,0.0,50.0,2.9,0.5,0.2,0.3,0.4,0,0.19387755102040813,5.3999999999999995,1.2468827930174562
50,9.8,5.2,47.3,35.7,67.0,1.5,0.9,0.6,0.0,0.8,0,0.5306122448979592,7.400000000000001,1.1235955056179774
65,9.5,5.0,47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,0,0.5263157894736842,7.0,1.49812734082397
65,9.5,5.0,47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,1,0.5263157894736842,7.0,1.49812734082397
82,21.2,6.9,54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,0,0.3254716981132076,13.6,0.614911606456572
82,21.2,6.9,54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,1,0.3254716981132076,13.6,0.614911606456572
44,9.4,2.7,31.3,32.5,78.9,1.0,1.0,0.4,0.1,0.8,1,0.2872340425531915,4.4,1.2484394506866416
36,8.8,4.3,47.5,0.0,61.5,1.4,0.6,0.5,0.2,0.7,0,0.4886363636363636,6.299999999999999,0.8559201141226819
60,8.7,2.9,44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,1,0.33333333333333337,5.8999999999999995,2.8286189683860234
60,8.7,2.9,44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,1,0.33333333333333337,5.8999999999999995,2.8286189683860234
60,8.7,2.9,44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,0,0.33333333333333337,5.8999999999999995,2.8286189683860234
71,30.4,16.3,49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1,0.5361842105263158,24.5,0.7139457401237506
71,30.4,16.3,49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1,0.5361842105263158,24.5,0.7139457401237506
71,30.4,16.3,49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,0,0.5361842105263158,24.5,0.7139457401237506
34,8.6,3.5,39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1,0.4069767441860465,4.6,0.749063670411985
34,8.6,3.5,39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1,0.4069767441860465,4.6,0.749063670411985
34,8.6,3.5,39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,0,0.4069767441860465,4.6,0.749063670411985
45,8.3,4.5,49.4,0.0,60.9,2.4,0.4,0.2,0.1,0.9,0,0.5421686746987951,6.7,0.4439511653718091
70,32.3,12.8,38.0,33.0,90.3,3.0,5.7,0.6,0.1,1.9,0,0.3962848297213623,20.300000000000004,2.9984218832193585
57,7.7,2.0,36.8,25.0,61.5,1.2,0.4,0.3,0.1,0.4,0,0.2597402597402597,3.6,0.9975062344139651
52,7.3,2.6,39.3,27.3,81.3,1.3,0.3,0.2,0.1,0.6,1,0.35616438356164387,3.9,0.49916805324459235
51,6.5,1.9,55.3,0.0,46.4,2.1,0.1,0.2,0.3,0.6,1,0.29230769230769227,3.9999999999999996,0.1663893510815308
35,6.2,3.3,43.5,40.0,88.9,0.7,0.3,0.2,0.2,0.6,0,0.532258064516129,4.1000000000000005,0.49916805324459235
48,5.7,1.1,23.8,16.7,76.5,0.6,1.3,0.3,0.0,0.5,0,0.1929824561403509,2.8,2.594810379241517
21,4.9,0.7,33.3,0.0,50.0,1.1,0.1,0.1,0.3,0.1,0,0.14285714285714285,2.1999999999999997,0.9900990099009901
36,4.3,2.0,33.8,28.6,80.0,0.6,0.3,0.1,0.0,0.6,0,0.46511627906976744,2.4,0.49916805324459235
21,4.1,2.2,37.5,25.0,69.2,1.1,0.0,0.1,0.4,0.3,0,0.5365853658536587,3.5000000000000004,0.0
79,34.4,22.0,46.8,36.7,81.0,5.9,4.2,1.0,0.2,3.4,1,0.6395348837209303,29.900000000000006,1.2349309026756838
81,33.8,18.6,49.8,19.0,77.5,5.1,4.6,1.9,0.8,3.2,1,0.5502958579881657,27.800000000000004,1.437050921587004
80,31.1,13.8,41.9,32.7,78.0,4.1,4.1,1.6,0.5,3.2,0,0.4437299035369775,20.900000000000002,1.2808497344579817
79,32.6,15.1,45.5,42.8,83.1,2.8,3.0,1.5,0.5,2.0,1,0.46319018404907975,20.9,1.4992503748125938
79,29.7,13.8,42.5,27.0,74.6,3.3,4.4,1.8,0.3,3.1,1,0.4646464646464647,20.5,1.4188971299580782
82,29.7,11.9,48.6,0.0,74.9,6.7,1.8,1.5,0.6,2.5,1,0.4006734006734007,20.000000000000004,0.7197121151539385
75,29.6,16.9,41.4,31.4,79.5,2.5,2.3,0.9,0.3,1.5,1,0.5709459459459458,21.4,1.5323117921385743
82,28.1,8.6,43.3,0.0,82.6,4.6,5.8,0.9,0.3,2.3,1,0.3060498220640569,17.9,2.5206431986093008
76,27.6,14.1,45.7,36.6,71.7,5.2,1.6,1.3,0.8,2.5,1,0.5108695652173912,20.500000000000004,0.6397441023590564
71,27.1,11.9,43.5,22.7,73.5,3.4,7.1,2.0,0.1,3.6,1,0.43911439114391143,20.9,1.97167453485143
79,26.1,11.7,43.2,24.8,74.5,2.6,3.8,1.1,0.1,2.3,1,0.44827586206896547,17.0,1.6514558887440245
82,26.7,8.8,37.6,32.0,80.4,2.9,1.0,0.6,0.2,1.2,0,0.32958801498127344,12.3,0.8326394671107411
54,25.1,8.6,41.9,32.9,61.4,3.9,2.4,1.2,0.3,0.9,1,0.3426294820717131,15.500000000000002,2.6637069922308543
55,22.2,8.0,42.0,25.0,67.3,5.2,2.1,0.7,0.5,1.9,0,0.3603603603603604,14.6,1.1046817464492373
64,22.0,11.0,45.0,40.6,78.9,3.1,1.3,0.6,0.3,1.3,0,0.5,15.0,0.9992313604919294
71,21.1,6.4,49.0,0.0,80.3,2.2,3.4,1.1,0.1,1.6,0,0.3033175355450237,11.600000000000001,2.12367270455965
36,20.3,5.7,41.7,14.3,69.5,2.5,4.3,1.2,0.1,2.3,0,0.28078817733990147,11.5,1.8687527162103434
65,18.5,7.4,50.1,0.0,57.1,4.5,1.0,1.0,0.3,1.2,0,0.4,13.000000000000002,0.8326394671107411
80,19.5,7.1,47.5,30.0,85.0,2.1,2.6,0.8,0.2,1.0,1,0.3641025641025641,11.799999999999999,2.597402597402598
32,19.3,6.8,46.7,20.0,69.2,1.5,3.7,0.8,0.1,1.7,0,0.35233160621761656,11.200000000000001,2.175191064079953
81,19.0,9.3,43.7,20.8,78.3,3.2,1.0,0.6,0.1,1.7,0,0.48947368421052634,12.5,0.5878894767783657
80,18.2,11.5,43.4,22.5,78.6,2.3,1.5,0.5,0.1,1.6,1,0.6318681318681318,14.3,0.9369144284821986
71,16.8,5.6,46.4,0.0,59.6,2.3,1.1,0.5,0.4,0.4,1,0.3333333333333333,9.5,2.743142144638404
81,16.8,8.9,46.7,32.2,74.5,2.0,3.9,1.2,0.0,1.8,1,0.5297619047619048,14.2,2.1654636313159354
